subset,subset_scores,delta_val,fairness_goal,utility_ratio,method,fairness_ratio,wall_time,total_positions_seen,position_seen_prop,group_0,group_1,group_0_val,group_1_val,group_0_cnt,group_1_cnt,sa_count,ra_count,data_name
"[ 2404 40916 42252 35060  1190  2562 34166   352  3579 19471 32695 36294
 33778   120 49801 47936 15015 12910 20437 25339 32560  3054  2809 31136
 47605  2805 17337  2817 17811 14526  1483 16497 30345 46976 38611 29309
 15790 31636 45845 20892 30508 34814 13275 20240 21542 34843 47445 20248
 47597 40943 36466  6751 37266 40521 41260  8610 49358 37682  8110 42218
 32381 34323 48459  4394 19120  2844 33113 38090 12501  9335 35304 25609
 29821 33340 49079 43307  4206 16030 24593 46377 16701 16002 12637  7443
 34017 33710  4655 18996 13577 49857  4917 23892 33794 25901 27359 40423
 31664 19148 49618 43043]","[13.36892872 12.64969967 12.29067094 11.52364546 11.46867587 11.41685635
 11.19545533 11.18574655 11.17667833 11.14001071 11.12171403 11.10511898
 10.92537109 10.85378296 10.81373935 10.72839422 10.69888577 10.63303959
 10.57093435 10.48208303 10.47009255 10.46820115 10.46175221 10.4401291
 10.42949547 10.33526214 10.33317549 10.33249074 10.31786804 10.27704913
 10.25028751 10.22755709 10.21710856 10.19964265 10.19502239 10.18617701
 10.10983039 10.10762949 10.08311203 10.08060847  9.99545667  9.98134733
  9.97451593  9.94784867  9.94697788  9.93269957  9.92615146  9.92010598
  9.8949143   9.89089183  9.88470695  9.8816837   9.85803052  9.85295836
  9.84747963  9.84391815  9.80542813  9.80228863  9.79220114  9.77952352
  9.73616447  9.72474125  9.71701572  9.69939255  9.64974796  9.63895001
  9.61936508  9.61690849  9.60657948  9.53871753  9.53433683  9.52653918
  9.5025686   9.47634821  9.45111435  9.44297216  9.41873028  9.41589453
  9.39275361  9.38902552  9.38138787  9.38015406  9.37126426  9.36769216
  9.31520882  9.2657386   9.26383707  9.21583172  9.21443146  9.19100262
  9.18617661  9.18596629  9.18121335  9.16711438  9.14212824  9.14124508
  9.13643526  9.12894299  9.1251375   9.12216898]",1,proportional,1,fagins,0.94047619,82.8317533,499690,0.99938,a,b,0.001975,0.0021,79,21,26857,231120,gauss
"[40916 42252 35060 34166 19471 32695 36294 33778 49801 47936 15015 12910
 20437 25339 32560 31136 47605 17337 17811 14526 16497 30345 46976 38611
 29309 15790 31636 45845 20892 30508 34814 13275 20240 21542 34843 47445
 20248 47597 40943 36466 37266 40521 41260 49358 37682 42218 32381 34323
 48459 19120 33113 38090 12501 35304 25609 29821 33340 49079 43307 16030
 24593 46377 16701 16002 12637 34017 33710 18996 13577 49857 23892 33794
  2404  1190  2562   352  3579   120  3054  2809  2805  2817  1483  6751
  8610  8110  4394  2844  9335  4206  7443  4655  4917 25901 27359 40423
 31664 19148 49618 43043]","[12.64969967 12.29067094 11.52364546 11.19545533 11.14001071 11.12171403
 11.10511898 10.92537109 10.81373935 10.72839422 10.69888577 10.63303959
 10.57093435 10.48208303 10.47009255 10.4401291  10.42949547 10.33317549
 10.31786804 10.27704913 10.22755709 10.21710856 10.19964265 10.19502239
 10.18617701 10.10983039 10.10762949 10.08311203 10.08060847  9.99545667
  9.98134733  9.97451593  9.94784867  9.94697788  9.93269957  9.92615146
  9.92010598  9.8949143   9.89089183  9.88470695  9.85803052  9.85295836
  9.84747963  9.80542813  9.80228863  9.77952352  9.73616447  9.72474125
  9.71701572  9.64974796  9.61936508  9.61690849  9.60657948  9.53433683
  9.52653918  9.5025686   9.47634821  9.45111435  9.44297216  9.41589453
  9.39275361  9.38902552  9.38138787  9.38015406  9.37126426  9.31520882
  9.2657386   9.21583172  9.21443146  9.19100262  9.18596629  9.18121335
 13.36892872 11.46867587 11.41685635 11.18574655 11.17667833 10.85378296
 10.46820115 10.46175221 10.33526214 10.33249074 10.25028751  9.8816837
  9.84391815  9.79220114  9.69939255  9.63895001  9.53871753  9.41873028
  9.36769216  9.26383707  9.18617661  9.16711438  9.14212824  9.14124508
  9.13643526  9.12894299  9.1251375   9.12216898]",0.1,proportional,1,fair-share-fagins,0.94047619,82.73843141,499690,0.99938,a,b,0.001975,0.0021,79,21,26857,231120,gauss
"[40916 42252 35060 34166 19471 32695 36294 33778 49801 47936 15015 12910
 20437 25339 32560 31136 47605 17337 17811 14526 16497 30345 46976 38611
 29309 15790 31636 45845 20892 30508 34814 13275 20240 21542 34843 47445
 20248 47597 40943 36466 37266 40521 41260 49358 37682 42218 32381 34323
 48459 19120 33113 38090 12501 35304 25609 29821 33340 49079 43307 16030
 24593 46377 16701 16002 12637 34017 33710 18996 13577 49857 23892 33794
 25901 27359 40423 31664  2404  1190  2562   352  3579   120  3054  2809
  2805  2817  1483  6751  8610  8110  4394  2844  9335  4206  7443  4655
  4917 19148 49618 43043]","[12.64969967 12.29067094 11.52364546 11.19545533 11.14001071 11.12171403
 11.10511898 10.92537109 10.81373935 10.72839422 10.69888577 10.63303959
 10.57093435 10.48208303 10.47009255 10.4401291  10.42949547 10.33317549
 10.31786804 10.27704913 10.22755709 10.21710856 10.19964265 10.19502239
 10.18617701 10.10983039 10.10762949 10.08311203 10.08060847  9.99545667
  9.98134733  9.97451593  9.94784867  9.94697788  9.93269957  9.92615146
  9.92010598  9.8949143   9.89089183  9.88470695  9.85803052  9.85295836
  9.84747963  9.80542813  9.80228863  9.77952352  9.73616447  9.72474125
  9.71701572  9.64974796  9.61936508  9.61690849  9.60657948  9.53433683
  9.52653918  9.5025686   9.47634821  9.45111435  9.44297216  9.41589453
  9.39275361  9.38902552  9.38138787  9.38015406  9.37126426  9.31520882
  9.2657386   9.21583172  9.21443146  9.19100262  9.18596629  9.18121335
  9.16711438  9.14212824  9.14124508  9.13643526 13.36892872 11.46867587
 11.41685635 11.18574655 11.17667833 10.85378296 10.46820115 10.46175221
 10.33526214 10.33249074 10.25028751  9.8816837   9.84391815  9.79220114
  9.69939255  9.63895001  9.53871753  9.41873028  9.36769216  9.26383707
  9.18617661  9.12894299  9.1251375   9.12216898]",0.05,proportional,1,fair-share-fagins,0.94047619,81.34131675,499690,0.99938,a,b,0.001975,0.0021,79,21,26857,231120,gauss
"[40916 42252 35060 34166 19471 32695 36294 33778 49801 47936 15015 12910
 20437 25339 32560 31136 47605 17337 17811 14526 16497 30345 46976 38611
 29309 15790 31636 45845 20892 30508 34814 13275 20240 21542 34843 47445
 20248 47597 40943 36466 37266 40521 41260 49358 37682 42218 32381 34323
 48459 19120 33113 38090 12501 35304 25609 29821 33340 49079 43307 16030
 24593 46377 16701 16002 12637 34017 33710 18996 13577 49857 23892 33794
 25901 27359 40423 31664 19148 49618 43043 32659  2404  1190  2562   352
  3579   120  3054  2809  2805  2817  1483  6751  8610  8110  4394  2844
  9335  4206  7443  4655]","[12.64969967 12.29067094 11.52364546 11.19545533 11.14001071 11.12171403
 11.10511898 10.92537109 10.81373935 10.72839422 10.69888577 10.63303959
 10.57093435 10.48208303 10.47009255 10.4401291  10.42949547 10.33317549
 10.31786804 10.27704913 10.22755709 10.21710856 10.19964265 10.19502239
 10.18617701 10.10983039 10.10762949 10.08311203 10.08060847  9.99545667
  9.98134733  9.97451593  9.94784867  9.94697788  9.93269957  9.92615146
  9.92010598  9.8949143   9.89089183  9.88470695  9.85803052  9.85295836
  9.84747963  9.80542813  9.80228863  9.77952352  9.73616447  9.72474125
  9.71701572  9.64974796  9.61936508  9.61690849  9.60657948  9.53433683
  9.52653918  9.5025686   9.47634821  9.45111435  9.44297216  9.41589453
  9.39275361  9.38902552  9.38138787  9.38015406  9.37126426  9.31520882
  9.2657386   9.21583172  9.21443146  9.19100262  9.18596629  9.18121335
  9.16711438  9.14212824  9.14124508  9.13643526  9.12894299  9.1251375
  9.12216898  9.12143063 13.36892872 11.46867587 11.41685635 11.18574655
 11.17667833 10.85378296 10.46820115 10.46175221 10.33526214 10.33249074
 10.25028751  9.8816837   9.84391815  9.79220114  9.69939255  9.63895001
  9.53871753  9.41873028  9.36769216  9.26383707]",0,proportional,0.999935526,fair-share-fagins,1,79.28805461,499690,0.99938,a,b,0.002,0.002,80,20,26857,231120,gauss
"[15015  2404  2809  1483 23892 37266 47936 38611 16030 43043 34843 32381
 13275  2805  3054 42218 25339 19120 38090 41260 16701  2817 31136 17337
  7443  3579 31664 36294  4917 12910 16002 47445 31636   120 34166 36466
 49618 32695 21542  2562 24593 33794 17811 49079  4655 34814 13577 40916
 49358 20892  1190  2844 14526 47605 35060 20240 12637 20248 46377 20437
 12501 42252 48459 45845 49857 15790 25609 35304  4394  4206   352 29309
 49801 19471 33778  6751 18996 30508 34017 37682 47597 33113 32560 40521
 43307  9335 25901 16497 30345 27359  8110  8610 40423 19148 34323 29821
 33340 33710 46976 40943]","[10.69888577 13.36892872 10.46175221 10.25028751  9.18596629  9.85803052
 10.72839422 10.19502239  9.41589453  9.12216898  9.93269957  9.73616447
  9.97451593 10.33526214 10.46820115  9.77952352 10.48208303  9.64974796
  9.61690849  9.84747963  9.38138787 10.33249074 10.4401291  10.33317549
  9.36769216 11.17667833  9.13643526 11.10511898  9.18617661 10.63303959
  9.38015406  9.92615146 10.10762949 10.85378296 11.19545533  9.88470695
  9.1251375  11.12171403  9.94697788 11.41685635  9.39275361  9.18121335
 10.31786804  9.45111435  9.26383707  9.98134733  9.21443146 12.64969967
  9.80542813 10.08060847 11.46867587  9.63895001 10.27704913 10.42949547
 11.52364546  9.94784867  9.37126426  9.92010598  9.38902552 10.57093435
  9.60657948 12.29067094  9.71701572 10.08311203  9.19100262 10.10983039
  9.52653918  9.53433683  9.69939255  9.41873028 11.18574655 10.18617701
 10.81373935 11.14001071 10.92537109  9.8816837   9.21583172  9.99545667
  9.31520882  9.80228863  9.8949143   9.61936508 10.47009255  9.85295836
  9.44297216  9.53871753  9.16711438 10.22755709 10.21710856  9.14212824
  9.79220114  9.84391815  9.14124508  9.12894299  9.72474125  9.5025686
  9.47634821  9.2657386  10.19964265  9.89089183]",1,proportional,1,bpa2,0.94047619,24.25449114,433020,0.86604,a,b,0.001975,0.0021,79,21,15,432870,gauss
"[40521 16497 40916 33340 23892 38611 49801 13275 49857 14526 33794 30508
 32381 34323 17337 42218 43307 49358 47605 20248 34166 32695 20892 30345
 47445 40943 17811 31136 41260 35060 36294 33778 33710 15015 34017 46377
 37682 31636 24593 35304 42252 38090 47936 12910 29821 12637 19120 29309
 21542 18996 37266 16030 48459 45845 13577 32560 34814 20437 20240 25609
 36466 16002 19471 16701 47597 25339 12501 49079 34843 46976 33113 15790
  1190  4206  3579  2404  8610  8110   120  1483  2805  3054  2844   352
  6751  4394  2817  2809  2562  9335 25901  4655 43043 27359 19148 40423
 49618 31664  4917  7443]","[ 9.85295836 10.22755709 12.64969967  9.47634821  9.18596629 10.19502239
 10.81373935  9.97451593  9.19100262 10.27704913  9.18121335  9.99545667
  9.73616447  9.72474125 10.33317549  9.77952352  9.44297216  9.80542813
 10.42949547  9.92010598 11.19545533 11.12171403 10.08060847 10.21710856
  9.92615146  9.89089183 10.31786804 10.4401291   9.84747963 11.52364546
 11.10511898 10.92537109  9.2657386  10.69888577  9.31520882  9.38902552
  9.80228863 10.10762949  9.39275361  9.53433683 12.29067094  9.61690849
 10.72839422 10.63303959  9.5025686   9.37126426  9.64974796 10.18617701
  9.94697788  9.21583172  9.85803052  9.41589453  9.71701572 10.08311203
  9.21443146 10.47009255  9.98134733 10.57093435  9.94784867  9.52653918
  9.88470695  9.38015406 11.14001071  9.38138787  9.8949143  10.48208303
  9.60657948  9.45111435  9.93269957 10.19964265  9.61936508 10.10983039
 11.46867587  9.41873028 11.17667833 13.36892872  9.84391815  9.79220114
 10.85378296 10.25028751 10.33526214 10.46820115  9.63895001 11.18574655
  9.8816837   9.69939255 10.33249074 10.46175221 11.41685635  9.53871753
  9.16711438  9.26383707  9.12216898  9.14212824  9.12894299  9.14124508
  9.1251375   9.13643526  9.18617661  9.36769216]",0.1,proportional,1,fair-share-bpa2,0.94047619,24.50552011,433020,0.86604,a,b,0.001975,0.0021,79,21,15,432870,gauss
"[29821 20437 13577 20240 32695 38611 33778 19471 49079 18996 32381 33710
 41260 24593 23892 36294 16030 17811 46377 20892 25609 40943 42218 34843
 40423 42252 32560 12910 30508 33340 21542 34323 49801 35304 15790 38090
 16002 33794 34017 36466 47597 14526 43307 45845 29309 12637 49358 34814
 15015 48459 34166 17337 46976 19120 49857 31136 20248 13275 31636 37682
 37266 33113 47445 30345 35060 47936 31664 47605 16497 25901 12501 40916
 16701 27359 25339 40521  8610  2805  4394   120  6751  2404  1483  1190
  2562  8110  2844  7443  9335  3054  2817  4206  2809  3579   352 19148
  4655 43043  4917 49618]","[ 9.5025686  10.57093435  9.21443146  9.94784867 11.12171403 10.19502239
 10.92537109 11.14001071  9.45111435  9.21583172  9.73616447  9.2657386
  9.84747963  9.39275361  9.18596629 11.10511898  9.41589453 10.31786804
  9.38902552 10.08060847  9.52653918  9.89089183  9.77952352  9.93269957
  9.14124508 12.29067094 10.47009255 10.63303959  9.99545667  9.47634821
  9.94697788  9.72474125 10.81373935  9.53433683 10.10983039  9.61690849
  9.38015406  9.18121335  9.31520882  9.88470695  9.8949143  10.27704913
  9.44297216 10.08311203 10.18617701  9.37126426  9.80542813  9.98134733
 10.69888577  9.71701572 11.19545533 10.33317549 10.19964265  9.64974796
  9.19100262 10.4401291   9.92010598  9.97451593 10.10762949  9.80228863
  9.85803052  9.61936508  9.92615146 10.21710856 11.52364546 10.72839422
  9.13643526 10.42949547 10.22755709  9.16711438  9.60657948 12.64969967
  9.38138787  9.14212824 10.48208303  9.85295836  9.84391815 10.33526214
  9.69939255 10.85378296  9.8816837  13.36892872 10.25028751 11.46867587
 11.41685635  9.79220114  9.63895001  9.36769216  9.53871753 10.46820115
 10.33249074  9.41873028 10.46175221 11.17667833 11.18574655  9.12894299
  9.26383707  9.12216898  9.18617661  9.1251375 ]",0.05,proportional,1,fair-share-bpa2,0.94047619,24.49891515,433020,0.86604,a,b,0.001975,0.0021,79,21,15,432870,gauss
"[35060 16030 23892 31636 20437 38611 41260 12637 24593 33710 30345 45845
 15790 13275 34166 29821 33778 47605 32560 36294 34814 32381 20892 40423
 43043 21542 12910 16002 37682 33794 49358 49079 13577 49857 18996 37266
 12501 38090 19120 19471 30508 14526 17811 19148 49618 40521 48459 15015
 34323 43307 25609 32695 35304 20240 33113 27359 34017 46377 47445 20248
 32659 31664 34843 40916 31136 42252 42218 25339 47936 16497 40943 49801
 29309 17337 47597 16701 33340 25901 46976 36466  4655  2817  7443   120
  9335  2562  2404  1190  1483  4394  2809  8610  8110  2844  4206  2805
  6751   352  3054  3579]","[11.52364546  9.41589453  9.18596629 10.10762949 10.57093435 10.19502239
  9.84747963  9.37126426  9.39275361  9.2657386  10.21710856 10.08311203
 10.10983039  9.97451593 11.19545533  9.5025686  10.92537109 10.42949547
 10.47009255 11.10511898  9.98134733  9.73616447 10.08060847  9.14124508
  9.12216898  9.94697788 10.63303959  9.38015406  9.80228863  9.18121335
  9.80542813  9.45111435  9.21443146  9.19100262  9.21583172  9.85803052
  9.60657948  9.61690849  9.64974796 11.14001071  9.99545667 10.27704913
 10.31786804  9.12894299  9.1251375   9.85295836  9.71701572 10.69888577
  9.72474125  9.44297216  9.52653918 11.12171403  9.53433683  9.94784867
  9.61936508  9.14212824  9.31520882  9.38902552  9.92615146  9.92010598
  9.12143063  9.13643526  9.93269957 12.64969967 10.4401291  12.29067094
  9.77952352 10.48208303 10.72839422 10.22755709  9.89089183 10.81373935
 10.18617701 10.33317549  9.8949143   9.38138787  9.47634821  9.16711438
 10.19964265  9.88470695  9.26383707 10.33249074  9.36769216 10.85378296
  9.53871753 11.41685635 13.36892872 11.46867587 10.25028751  9.69939255
 10.46175221  9.84391815  9.79220114  9.63895001  9.41873028 10.33526214
  9.8816837  11.18574655 10.46820115 11.17667833]",0,proportional,0.999935526,fair-share-bpa2,1,24.10782871,433020,0.86604,a,b,0.002,0.002,80,20,15,432870,gauss
"[40521 16497 40916 33340 23892 38611 49801 13275 49857 14526 33794 30508
 32381 34323 17337 42218 43307 49358 47605 20248 34166 32695 20892 30345
 47445 40943 17811 31136 41260 35060 36294 33778 33710 15015 34017 46377
 37682 31636 24593 35304 42252 38090 47936 12910 29821 12637 19120 29309
 21542 18996 37266 16030 48459 45845 13577 32560 34814 20437 20240 25609
 36466 16002 19471 16701 47597 25339 12501 49079 34843 46976 33113 15790
  1190  4206  3579  2404  8610  8110   120  1483  2805  3054  2844   352
  6751  4394  2817  2809  2562  9335  7706  8998 14544 22507 22605 24269
 31189 48634 48769  4498]","[ 9.85295836 10.22755709 12.64969967  9.47634821  9.18596629 10.19502239
 10.81373935  9.97451593  9.19100262 10.27704913  9.18121335  9.99545667
  9.73616447  9.72474125 10.33317549  9.77952352  9.44297216  9.80542813
 10.42949547  9.92010598 11.19545533 11.12171403 10.08060847 10.21710856
  9.92615146  9.89089183 10.31786804 10.4401291   9.84747963 11.52364546
 11.10511898 10.92537109  9.2657386  10.69888577  9.31520882  9.38902552
  9.80228863 10.10762949  9.39275361  9.53433683 12.29067094  9.61690849
 10.72839422 10.63303959  9.5025686   9.37126426  9.64974796 10.18617701
  9.94697788  9.21583172  9.85803052  9.41589453  9.71701572 10.08311203
  9.21443146 10.47009255  9.98134733 10.57093435  9.94784867  9.52653918
  9.88470695  9.38015406 11.14001071  9.38138787  9.8949143  10.48208303
  9.60657948  9.45111435  9.93269957 10.19964265  9.61936508 10.10983039
 11.46867587  9.41873028 11.17667833 13.36892872  9.84391815  9.79220114
 10.85378296 10.25028751 10.33526214 10.46820115  9.63895001 11.18574655
  9.8816837   9.69939255 10.33249074 10.46175221 11.41685635  9.53871753
  3.80755302  6.16461916  7.53978581  5.15934317  0.84017553  5.61464887
  2.72163698  1.35409646  1.09901549  1.82908684]",0.1,proportional,0.944582501,fair-GBGbpa2,0.94047619,48.06762428,200,0.0004,a,b,0.001975,0.0021,79,21,32,858320,gauss
"[29821 20437 13577 20240 32695 38611 33778 19471 49079 18996 32381 33710
 41260 24593 23892 36294 16030 17811 46377 20892 25609 40943 42218 34843
 40423 42252 32560 12910 30508 33340 21542 34323 49801 35304 15790 38090
 16002 33794 34017 36466 47597 14526 43307 45845 29309 12637 49358 34814
 15015 48459 34166 17337 46976 19120 49857 31136 20248 13275 31636 37682
 37266 33113 47445 30345 35060 47936 31664 47605 16497 25901 12501 40916
 16701 27359 25339 40521  8610  2805  4394   120  6751  2404  1483  1190
  2562  8110  2844  7443  9335  3054  2817  4206  2809  3579   352  7706
  8998 14544 22507 22605]","[ 9.5025686  10.57093435  9.21443146  9.94784867 11.12171403 10.19502239
 10.92537109 11.14001071  9.45111435  9.21583172  9.73616447  9.2657386
  9.84747963  9.39275361  9.18596629 11.10511898  9.41589453 10.31786804
  9.38902552 10.08060847  9.52653918  9.89089183  9.77952352  9.93269957
  9.14124508 12.29067094 10.47009255 10.63303959  9.99545667  9.47634821
  9.94697788  9.72474125 10.81373935  9.53433683 10.10983039  9.61690849
  9.38015406  9.18121335  9.31520882  9.88470695  9.8949143  10.27704913
  9.44297216 10.08311203 10.18617701  9.37126426  9.80542813  9.98134733
 10.69888577  9.71701572 11.19545533 10.33317549 10.19964265  9.64974796
  9.19100262 10.4401291   9.92010598  9.97451593 10.10762949  9.80228863
  9.85803052  9.61936508  9.92615146 10.21710856 11.52364546 10.72839422
  9.13643526 10.42949547 10.22755709  9.16711438  9.60657948 12.64969967
  9.38138787  9.14212824 10.48208303  9.85295836  9.84391815 10.33526214
  9.69939255 10.85378296  9.8816837  13.36892872 10.25028751 11.46867587
 11.41685635  9.79220114  9.63895001  9.36769216  9.53871753 10.46820115
 10.33249074  9.41873028 10.46175221 11.17667833 11.18574655  3.80755302
  6.16461916  7.53978581  5.15934317  0.84017553]",0.05,proportional,0.977778809,fair-GBGbpa2,0.94047619,48.68016205,100,0.0002,a,b,0.001975,0.0021,79,21,31,860330,gauss
